№;Code;Brow.;Chart;Applᵈ;Goog;Twtr.;One;FB;FBM;Sams.;Wind.;GMail;SB;DCM;KDDI;Name;Date;Keywords
171;U+1F468 U+200D U+1F3EB;👨‍🏫;—;;;;—;—;—;—;—;—;—;—;—;man teacher;2010ˣ;instructor | man | professor | teacher
172;U+1F468 U+1F3FB U+200D U+1F3EB;👨🏻‍🏫;—;;;;—;—;—;—;—;—;—;—;—;man teacher: light skin tone;2015ˣ;instructor | light skin tone | man | professor | teacher
173;U+1F468 U+1F3FC U+200D U+1F3EB;👨🏼‍🏫;—;;;;—;—;—;—;—;—;—;—;—;man teacher: medium-light skin tone;2015ˣ;instructor | man | medium-light skin tone | professor | teacher
174;U+1F468 U+1F3FD U+200D U+1F3EB;👨🏽‍🏫;—;;;;—;—;—;—;—;—;—;—;—;man teacher: medium skin tone;2015ˣ;instructor | man | medium skin tone | professor | teacher
175;U+1F468 U+1F3FE U+200D U+1F3EB;👨🏾‍🏫;—;;;;—;—;—;—;—;—;—;—;—;man teacher: medium-dark skin tone;2015ˣ;instructor | man | medium-dark skin tone | professor | teacher
176;U+1F468 U+1F3FF U+200D U+1F3EB;👨🏿‍🏫;—;;;;—;—;—;—;—;—;—;—;—;man teacher: dark skin tone;2015ˣ;dark skin tone | instructor | man | professor | teacher
177;U+1F469 U+200D U+1F3EB;👩‍🏫;—;;;;—;—;—;—;—;—;—;—;—;woman teacher;2010ˣ;instructor | professor | teacher | woman
178;U+1F469 U+1F3FB U+200D U+1F3EB;👩🏻‍🏫;—;;;;—;—;—;—;—;—;—;—;—;woman teacher: light skin tone;2015ˣ;instructor | light skin tone | professor | teacher | woman
179;U+1F469 U+1F3FC U+200D U+1F3EB;👩🏼‍🏫;—;;;;—;—;—;—;—;—;—;—;—;woman teacher: medium-light skin tone;2015ˣ;instructor | medium-light skin tone | professor | teacher | woman
180;U+1F469 U+1F3FD U+200D U+1F3EB;👩🏽‍🏫;—;;;;—;—;—;—;—;—;—;—;—;woman teacher: medium skin tone;2015ˣ;instructor | medium skin tone | professor | teacher | woman
181;U+1F469 U+1F3FE U+200D U+1F3EB;👩🏾‍🏫;—;;;;—;—;—;—;—;—;—;—;—;woman teacher: medium-dark skin tone;2015ˣ;instructor | medium-dark skin tone | professor | teacher | woman
182;U+1F469 U+1F3FF U+200D U+1F3EB;👩🏿‍🏫;—;;;;—;—;—;—;—;—;—;—;—;woman teacher: dark skin tone;2015ˣ;dark skin tone | instructor | professor | teacher | woman
183;U+1F468 U+200D U+2696 U+FE0F;👨‍⚖️;—;;;;—;—;—;—;—;—;—;—;—;man judge;2010ˣ;justice | man | scales
184;U+1F468 U+1F3FB U+200D U+2696 U+FE0F;👨🏻‍⚖️;—;;;;—;—;—;—;—;—;—;—;—;man judge: light skin tone;2015ˣ;justice | light skin tone | man | scales
185;U+1F468 U+1F3FC U+200D U+2696 U+FE0F;👨🏼‍⚖️;—;;;;—;—;—;—;—;—;—;—;—;man judge: medium-light skin tone;2015ˣ;justice | man | medium-light skin tone | scales
186;U+1F468 U+1F3FD U+200D U+2696 U+FE0F;👨🏽‍⚖️;—;;;;—;—;—;—;—;—;—;—;—;man judge: medium skin tone;2015ˣ;justice | man | medium skin tone | scales
№;Code;Brow.;Chart;Applᵈ;Goog;Twtr.;One;FB;FBM;Sams.;Wind.;GMail;SB;DCM;KDDI;Name;Date;Keywords
187;U+1F468 U+1F3FE U+200D U+2696 U+FE0F;👨🏾‍⚖️;—;;;;—;—;—;—;—;—;—;—;—;man judge: medium-dark skin tone;2015ˣ;justice | man | medium-dark skin tone | scales
